Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TMA Slide 1 | 002 | Segment 1	0	0.365520995608614	0.0255392922487346	0.144188039157265	0.0406493678084138	0.0756797030027388	0.0232293518615242	0	0.0740882373215832	0.0131383410431492	0.0181730025851383	0.08135986984928	0.0781754164349579	0.0537885662576888	0	0.143053212040706	0.0275677636667959	0.0419126194785812	0.0439247011369846	0	0	0.0555108417483509	0	0.833927645061108	0.670191519526249	1.30549932125051
TMA Slide 1 | 002 | Segment 2	0	0.36693032933376	0	0.129286572043641	0.0470474923551137	0.0864009049241564	0.0607388656341873	0	0.15511232102021	0.0507101434536328	0	0.16615151698707	0.119463784860575	0.157417809175135	0.0188978912739812	0.210147247105644	0.0197785589066285	0	0	0.101391597104993	0	0.00551258285729715	0	0.533897869349079	0.84979054651189	1.69498761703602
TMA Slide 1 | 003 | Segment 1	0	0.30734382175397	0.0337922497221021	0.0625933323318786	0	0.170993131101374	0.0377105144309361	0.0177925786645811	0.099545485913145	0.0666138152790989	0	0.130706862149357	0.0819080036351581	0	0	0.209755067114787	0	0.0546001825094313	0.0365205104537075	0	0	0.0429809147683052	0	0.657687289851097	0.780339748058627	1.35285646982783
TMA Slide 1 | 003 | Segment 2	0	0.567358780883423	0.130183523832281	0.213861016011979	0	0.0138789689010341	0.206348164741962	0.0442691737598661	0.248264910458156	0.00273878954989871	0.0235047524614516	0.0546129779078064	0.0810471536106339	0.108098924631745	0.00294338048693543	0.294695779080331	0.00060392737649423	0.00278708355379573	0.0292147953289295	0.0404851617560252	0	0.0371322220212123	0	0.534010384285307	0.848329496689024	2.10202948635396
TMA Slide 1 | 004 | Segment 1	0	0.330001727213945	0	0.0744631734362305	0.0167497339733008	0.0831868265966101	0.130327356784178	0	0.0498687438921016	0.068711872527941	0	0.0871436229462079	0.0532417367282623	0.0284847919381259	0	0.15172123430344	0.00322509905195393	0.00362844702178827	0.0830491521011656	0	0.00846637259475299	0	0	0.813669410559787	0.685736347112029	1.17226989111
TMA Slide 1 | 004 | Segment 2	0	0.414866820080389	0	0.0175718273343962	0	0.269276147309241	0.172842260831338	0	0.265886413060671	0	0.115751857490887	0.068361056035063	0.0771198067318663	0.0276415046240315	0.000418787768581202	0.265813556186285	0	0	0.0597920079484444	0	0	0	0.002	0.472449002075161	0.880726646203037	1.75534204540119
TMA Slide 1 | 005 | Segment 1	0	0.35112919069574	0.0200486669443144	0.138741929229377	0.0318471863063469	0.015886809595944	0.0427973916857607	0	0.150683483604775	0	0	0.103281478677801	0.0703115314494821	0	0	0.235737151883613	0.00336977280974824	0.0139896774744843	0.0739913029833997	0	0.0043278911587314	0.0387189167517157	0	0.813549672706246	0.684181181015997	1.29486238125123
TMA Slide 1 | 005 | Segment 2	0	0.390035842498441	0	0.112688277000081	0	0.0376825349666332	0.175045879025081	0.0231244329081404	0.12288884185941	0.0896696540762306	0	0.165463573987007	0.062402173342887	0.0079123383984669	0	0.204841774441956	0.00504071268486868	0.00727723414119298	0.0522083086961268	0.0359205993288989	0	0.0378825960272301	0	0.613357305912774	0.803543233014886	1.53008477338265
TMA Slide 1 | 006 | Segment 1	0	0.29368617526656	0	0.136461712803052	0	0.059920130364227	0.0432376923094703	0.0713643813069918	0.203914003949231	0.00463535872779728	0	0.162880821825035	0.0486100307525749	0.0188376116372785	0	0.181908930935145	0.000644128616617955	0.0181268059716895	0.0711721085265541	0	0	0.0223067113995068	0	0.680648111610493	0.759043261452955	1.33770660439173
TMA Slide 1 | 006 | Segment 2	0	0.619915717314135	0.0863245261427371	0.279635840478927	0	0.0514506516386187	0.157805825179301	0.078200485809279	0.290873960559529	0	0	0.163154110809824	0.0493937649948172	0.0687415687320838	0.0141286304446479	0.19125074469393	0	0	0.0800934329941443	0	0.00105428362957696	0.0274078827460888	0	0.514341631638326	0.856957732382887	2.15943142616764
